Week,Date,Name,Article Title,Article Link,Twitter Handle,MM Tweet,Key Words
1,"Oct 21, 2019",Dr. Keiko Nomura,Oil palm concessions in southern Myanmar consist mostly of unconverted forest,Scientific Reports,@Keiko_geo,Nomura 2019,"forest, deforestation, rubber plantations, Sentinel-1, Sentinel-2, SAR, SRTM, high resolution"
2,"Oct 28, 2019",Dr. Catherine Nakalembe,Characterizing agricultural drought in the Karamoja subregion of Uganda with meteorological and satellite-based indices,Natural Hazards,@CLNakalembe,Nakalembe 2019,"agricultural drought, NDVI, SPI, remote sensing, Karamoja, East Africa"
3,"Nov 4, 2019",Dr. Mary Henry and Dr. Jessica McCarty,Fire on the Water Towers: Mapping Burn Scars on Mount Kenya Using Satellite Data to Reconstruct Recent Fire History,Remote Sensing,@MaryHenryGEO and @jmccarty_geo,Henry 2019,"fire, Kenya, MODIS, Landsat, dNBR, active fire, burned areas, Africa"
4,"Nov 11, 2019",Sherrie Wang,Crop type mapping without field-level labels: Random forest transfer and unsupervised clustering techniques,Remote Sensing of Environment,@sherwang,Wang 2019,"classification, unsupervised learning, agriculture, Landsat, land cover, machine learning, Google Earth Engine, big data, remote sensing"
5,"Nov 18, 2019",Dr. Michelle Kalamandeen,Pervasive Rise of Small-scale Deforestation in Amazonia,Scientific Reports,@Earth2Mika,Kalamandeen 2018,"deforestation, Amazonia, z-scores, forest loss, Global Forest Change, Landsat, tropical forest, statistical evaluation"
6,"Nov 25, 2019",Dr. Jody Vogeler,Extracting the full value of the Landsat archive: Inter-sensor harmonization for the mapping of Minnesota forest canopy cover (1973–2015),Remote Sensing of Environment,@JodyVogeler,Vogeler 2018,"canopy cover, Landsat time series, LandsatLinkr, LandTrendr, Minnesota"
7,"Dec 2, 2019",Dr. Temilola Fatoyinbo,Estimating mangrove aboveground biomass from airborne LiDAR data: a case study from the Zambezi River delta,Environmental Research Letters,@EarthToLola,Fatoyinbo 2018,"lidar, mangrove, biomass, canopy height, Mozambique, blue carbon, monitoring"
8,"Dec 9, 2019",Dr. Brianna R. Pagán,Exploring the Potential of Satellite Solar-Induced Fluorescence to Constrain Global Transpiration Estimates,Remote Sensing,@Brianna_R_Pagan,Pagán 2019,"solar-induced chlorophyll fluorescence, transpiration, transpiration efficiency, GOME-2, eddy-covariance"
9,"Dec 16, 2019",Susan M. Kotikot,Statistical characterization of frost zones: Case of tea freeze damage in the Kenyan highlands,Remote Sensing,,Kotikot 2020,"frost zones, topography, MODIS, NASA, Kenya, tea crop"
10,"Dec 23, 2019",Tianjia Liu,Missing emissions from post-monsoon agricultural fires in northwestern India: regional limitations of MODIS burned area and active fire products,Environmental Research Communications,@TheRealPyroTina,Liu 2019,"India, burned area, active fires, crop residue burning, MODIS, Landsat"
